ID: 132, Timestamp: 18:20:27, GSR_filtrado: 63, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 133, Timestamp: 18:20:27, GSR_filtrado: 65, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 134, Timestamp: 18:20:27, GSR_filtrado: 65, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 135, Timestamp: 18:20:27, GSR_filtrado: 65, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 136, Timestamp: 18:20:27, GSR_filtrado: 66, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 137, Timestamp: 18:20:27, GSR_filtrado: 65, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 138, Timestamp: 18:20:27, GSR_filtrado: 63, Valor1: 1.0, Valor2: 0.0, ECG_filtrado: 0
ID: 139, Timestamp: 18:20:27, GSR_filtrado: 64, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 140, Timestamp: 18:20:27, GSR_filtrado: 63, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 141, Timestamp: 18:20:27, GSR_filtrado: 60, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 142, Timestamp: 18:20:27, GSR_filtrado: 69, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 143, Timestamp: 18:20:28, GSR_filtrado: 61, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 144, Timestamp: 18:20:28, GSR_filtrado: 55, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 145, Timestamp: 18:20:28, GSR_filtrado: 62, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 146, Timestamp: 18:20:28, GSR_filtrado: 64, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 147, Timestamp: 18:20:28, GSR_filtrado: 63, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 148, Timestamp: 18:20:28, GSR_filtrado: 62, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 149, Timestamp: 18:20:28, GSR_filtrado: 63, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 150, Timestamp: 18:20:28, GSR_filtrado: 44, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 151, Timestamp: 18:20:28, GSR_filtrado: 58, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 152, Timestamp: 18:20:28, GSR_filtrado: 72, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 153, Timestamp: 18:20:28, GSR_filtrado: 74, Valor1: 1.0, Valor2: 0.0, ECG_filtrado: 0
ID: 154, Timestamp: 18:20:28, GSR_filtrado: 73, Valor1: 1.0, Valor2: 0.0, ECG_filtrado: 0
ID: 155, Timestamp: 18:20:28, GSR_filtrado: 75, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 156, Timestamp: 18:20:28, GSR_filtrado: 67, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 157, Timestamp: 18:20:28, GSR_filtrado: 57, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 158, Timestamp: 18:20:28, GSR_filtrado: 62, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 159, Timestamp: 18:20:28, GSR_filtrado: 65, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 160, Timestamp: 18:20:29, GSR_filtrado: 65, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 161, Timestamp: 18:20:29, GSR_filtrado: 63, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 162, Timestamp: 18:20:29, GSR_filtrado: 63, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 163, Timestamp: 18:20:29, GSR_filtrado: 64, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 164, Timestamp: 18:20:29, GSR_filtrado: 65, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 165, Timestamp: 18:20:29, GSR_filtrado: 78, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 166, Timestamp: 18:20:29, GSR_filtrado: 77, Valor1: 1.0, Valor2: 0.0, ECG_filtrado: 0
ID: 167, Timestamp: 18:20:29, GSR_filtrado: 49, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 168, Timestamp: 18:20:29, GSR_filtrado: 61, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 169, Timestamp: 18:20:29, GSR_filtrado: 64, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 170, Timestamp: 18:20:29, GSR_filtrado: 57, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 171, Timestamp: 18:20:29, GSR_filtrado: 60, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 172, Timestamp: 18:20:29, GSR_filtrado: 63, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 173, Timestamp: 18:20:29, GSR_filtrado: 62, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 174, Timestamp: 18:20:29, GSR_filtrado: 60, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 175, Timestamp: 18:20:29, GSR_filtrado: 61, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 176, Timestamp: 18:20:30, GSR_filtrado: 62, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 177, Timestamp: 18:20:30, GSR_filtrado: 61, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 178, Timestamp: 18:20:30, GSR_filtrado: 74, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 179, Timestamp: 18:20:30, GSR_filtrado: 70, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 180, Timestamp: 18:20:30, GSR_filtrado: 38, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 181, Timestamp: 18:20:30, GSR_filtrado: 66, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 182, Timestamp: 18:20:30, GSR_filtrado: 66, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 183, Timestamp: 18:20:30, GSR_filtrado: 63, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 184, Timestamp: 18:20:30, GSR_filtrado: 63, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 185, Timestamp: 18:20:30, GSR_filtrado: 65, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 186, Timestamp: 18:20:30, GSR_filtrado: 64, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 187, Timestamp: 18:20:30, GSR_filtrado: 62, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 188, Timestamp: 18:20:30, GSR_filtrado: 75, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 189, Timestamp: 18:20:30, GSR_filtrado: 78, Valor1: 1.0, Valor2: 0.0, ECG_filtrado: 0
ID: 190, Timestamp: 18:20:30, GSR_filtrado: 78, Valor1: 1.0, Valor2: 0.0, ECG_filtrado: 0
ID: 191, Timestamp: 18:20:30, GSR_filtrado: 79, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 192, Timestamp: 18:20:31, GSR_filtrado: 75, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 193, Timestamp: 18:20:31, GSR_filtrado: 55, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 194, Timestamp: 18:20:31, GSR_filtrado: 62, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 195, Timestamp: 18:20:31, GSR_filtrado: 64, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 196, Timestamp: 18:20:31, GSR_filtrado: 64, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 197, Timestamp: 18:20:31, GSR_filtrado: 64, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 198, Timestamp: 18:20:31, GSR_filtrado: 64, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 199, Timestamp: 18:20:31, GSR_filtrado: 64, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 200, Timestamp: 18:20:31, GSR_filtrado: 61, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 201, Timestamp: 18:20:31, GSR_filtrado: 73, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 202, Timestamp: 18:20:31, GSR_filtrado: 69, Valor1: 1.0, Valor2: 0.0, ECG_filtrado: 0
ID: 203, Timestamp: 18:20:31, GSR_filtrado: 54, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 204, Timestamp: 18:20:31, GSR_filtrado: 64, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 205, Timestamp: 18:20:31, GSR_filtrado: 64, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 206, Timestamp: 18:20:31, GSR_filtrado: 63, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 207, Timestamp: 18:20:31, GSR_filtrado: 65, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 208, Timestamp: 18:20:32, GSR_filtrado: 68, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 209, Timestamp: 18:20:32, GSR_filtrado: 68, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 210, Timestamp: 18:20:32, GSR_filtrado: 59, Valor1: 1.0, Valor2: 0.0, ECG_filtrado: 0
ID: 211, Timestamp: 18:20:32, GSR_filtrado: 74, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 212, Timestamp: 18:20:32, GSR_filtrado: 69, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 213, Timestamp: 18:20:32, GSR_filtrado: 67, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 214, Timestamp: 18:20:32, GSR_filtrado: 79, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 215, Timestamp: 18:20:32, GSR_filtrado: 75, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 216, Timestamp: 18:20:32, GSR_filtrado: 55, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 217, Timestamp: 18:20:32, GSR_filtrado: 67, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 218, Timestamp: 18:20:32, GSR_filtrado: 70, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 219, Timestamp: 18:20:32, GSR_filtrado: 65, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
ID: 220, Timestamp: 18:20:32, GSR_filtrado: 65, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 221, Timestamp: 18:20:32, GSR_filtrado: 67, Valor1: 1.0, Valor2: 1.0, ECG_filtrado: 0
ID: 222, Timestamp: 18:20:32, GSR_filtrado: 68, Valor1: 0.0, Valor2: 0.0, ECG_filtrado: 0
