ID: 113, Chegada dos dados: 14:13:42, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 114, Chegada dos dados: 14:13:42, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 115, Chegada dos dados: 14:13:42, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 116, Chegada dos dados: 14:13:42, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 117, Chegada dos dados: 14:13:42, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 118, Chegada dos dados: 14:13:42, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 119, Chegada dos dados: 14:13:42, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 120, Chegada dos dados: 14:13:42, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 121, Chegada dos dados: 14:13:42, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 122, Chegada dos dados: 14:13:42, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 123, Chegada dos dados: 14:13:43, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 124, Chegada dos dados: 14:13:43, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 125, Chegada dos dados: 14:13:43, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 126, Chegada dos dados: 14:13:43, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 127, Chegada dos dados: 14:13:43, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 128, Chegada dos dados: 14:13:43, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 129, Chegada dos dados: 14:13:43, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 130, Chegada dos dados: 14:13:43, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 131, Chegada dos dados: 14:13:43, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 132, Chegada dos dados: 14:13:43, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
