Data,Hora,GSR,A0,A1,ECG
2024-09-25,09:16:26,156,1,1,0
2024-09-25,09:16:26,170,1,1,0
2024-09-25,09:16:27,169,1,1,0
2024-09-25,09:16:27,156,1,1,0
2024-09-25,09:16:27,164,1,1,0
2024-09-25,09:16:27,172,1,1,0
2024-09-25,09:16:27,159,1,1,0
2024-09-25,09:16:27,160,1,1,0
2024-09-25,09:16:27,174,1,1,0
2024-09-25,09:16:27,163,1,1,0
2024-09-25,09:16:27,158,1,1,0
2024-09-25,09:16:27,172,1,1,0
2024-09-25,09:16:27,168,1,1,0
2024-09-25,09:16:27,157,1,1,0
2024-09-25,09:16:27,168,1,1,0
2024-09-25,09:16:27,172,1,1,0
2024-09-25,09:16:27,158,1,1,0
2024-09-25,09:16:27,162,1,1,0
2024-09-25,09:16:28,174,1,1,0
2024-09-25,09:16:28,162,1,1,0
2024-09-25,09:16:28,158,1,1,0
2024-09-25,09:16:28,172,1,1,0
2024-09-25,09:16:28,166,1,1,0
2024-09-25,09:16:28,156,1,1,0
2024-09-25,09:16:28,168,1,1,0
2024-09-25,09:16:28,171,1,1,0
2024-09-25,09:16:28,157,1,1,0
2024-09-25,09:16:28,163,1,1,0
2024-09-25,09:16:28,173,1,1,0
2024-09-25,09:16:28,161,1,1,0
2024-09-25,09:16:28,159,1,1,0
2024-09-25,09:16:28,171,1,1,0
2024-09-25,09:16:28,164,1,1,0
2024-09-25,09:16:28,156,1,1,0
2024-09-25,09:16:28,170,1,1,0
2024-09-25,09:16:29,170,1,1,0
2024-09-25,09:16:29,157,1,1,0
2024-09-25,09:16:29,163,1,1,0
2024-09-25,09:16:29,173,1,1,0
2024-09-25,09:16:29,159,1,1,0
2024-09-25,09:16:29,159,1,1,0
2024-09-25,09:16:29,172,1,1,0
2024-09-25,09:16:29,162,1,1,0
2024-09-25,09:16:29,157,1,1,0
2024-09-25,09:16:29,170,1,1,0
2024-09-25,09:16:29,170,1,1,0
2024-09-25,09:16:29,155,1,1,0
2024-09-25,09:16:29,166,1,1,0
2024-09-25,09:16:29,173,1,1,0
2024-09-25,09:16:29,159,1,1,0
2024-09-25,09:16:29,162,1,1,0
2024-09-25,09:16:30,174,1,1,0
2024-09-25,09:16:30,163,1,1,0
